Rank,Name,Team,Position,Week,Opponent,PassingYards,PassingTouchdowns,PassingInterceptions,RushingYards,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Sacks,Interceptions,FumblesForced,FumblesRecovered,FantasyPointsPerGameFanDuel,FantasyPointsFanDuel
340,Diontae Spencer,DEN,WR,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Dan McCullers,PIT,NT,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Sean Culkin,LAC,TE,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Anthony Nelson,TB,OLB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Davontae Harris,DEN,CB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Keishawn Bierria,DEN,ILB,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Justin Watson,TB,WR,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jullian Taylor,SF,DT,1,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jamize Olawale,DAL,FB,1,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Olsen Pierre,NYG,DT,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,John Cominsky,ATL,DE,1,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Julian Stanford,BUF,ILB,1,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Drew Sample,CIN,TE,1,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Johnny Holton,PIT,WR,1,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Jack Cichy,TB,ILB,1,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,J.J. Watt,HOU,DE,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Brennan Scarlett,HOU,OLB,1,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
340,Tim Patrick,DEN,WR,1,LV,0,0,0,0,0,0,0,0,0,0,0,0,0,0
